turn,pieces_on_board,algorithm,nodes_evaluated,time_seconds,winner,experiment_batch,simulation_id
1,0,Minimax,549945,27.90711784362793,0,Direct_Comparison,Direct_Comparison_1
2,1,Alpha-Beta,6138,0.3189072608947754,0,Direct_Comparison,Direct_Comparison_1
3,2,Minimax,6811,0.3405888080596924,0,Direct_Comparison,Direct_Comparison_1
4,3,Alpha-Beta,477,0.02469801902770996,0,Direct_Comparison,Direct_Comparison_1
5,4,Minimax,185,0.0089874267578125,0,Direct_Comparison,Direct_Comparison_1
6,5,Alpha-Beta,27,0.0012288093566894531,2,Direct_Comparison,Direct_Comparison_1
1,0,Minimax,549945,27.75528597831726,0,Direct_Comparison,Direct_Comparison_2
2,1,Alpha-Beta,6138,0.3157079219818115,0,Direct_Comparison,Direct_Comparison_2
3,2,Minimax,6811,0.3417942523956299,0,Direct_Comparison,Direct_Comparison_2
4,3,Alpha-Beta,477,0.024255990982055664,0,Direct_Comparison,Direct_Comparison_2
5,4,Minimax,185,0.008760929107666016,0,Direct_Comparison,Direct_Comparison_2
6,5,Alpha-Beta,27,0.0011954307556152344,2,Direct_Comparison,Direct_Comparison_2
1,0,Minimax,549945,27.729795217514038,0,Direct_Comparison,Direct_Comparison_3
2,1,Alpha-Beta,6138,0.31662821769714355,0,Direct_Comparison,Direct_Comparison_3
3,2,Minimax,6811,0.34096574783325195,0,Direct_Comparison,Direct_Comparison_3
4,3,Alpha-Beta,477,0.024820804595947266,0,Direct_Comparison,Direct_Comparison_3
5,4,Minimax,185,0.008989810943603516,0,Direct_Comparison,Direct_Comparison_3
6,5,Alpha-Beta,27,0.0012288093566894531,2,Direct_Comparison,Direct_Comparison_3
1,0,Minimax,549945,27.716352462768555,0,Direct_Comparison,Direct_Comparison_4
2,1,Alpha-Beta,6138,0.31603336334228516,0,Direct_Comparison,Direct_Comparison_4
3,2,Minimax,6811,0.339658260345459,0,Direct_Comparison,Direct_Comparison_4
4,3,Alpha-Beta,477,0.024738788604736328,0,Direct_Comparison,Direct_Comparison_4
5,4,Minimax,185,0.008969783782958984,0,Direct_Comparison,Direct_Comparison_4
6,5,Alpha-Beta,27,0.00122833251953125,2,Direct_Comparison,Direct_Comparison_4
1,0,Minimax,549945,27.814151287078857,0,Direct_Comparison,Direct_Comparison_5
2,1,Alpha-Beta,6138,0.31655383110046387,0,Direct_Comparison,Direct_Comparison_5
3,2,Minimax,6811,0.3404662609100342,0,Direct_Comparison,Direct_Comparison_5
4,3,Alpha-Beta,477,0.0246124267578125,0,Direct_Comparison,Direct_Comparison_5
5,4,Minimax,185,0.00908041000366211,0,Direct_Comparison,Direct_Comparison_5
6,5,Alpha-Beta,27,0.0012578964233398438,2,Direct_Comparison,Direct_Comparison_5
1,0,Minimax,549945,28.598103046417236,0,Direct_Comparison,Direct_Comparison_6
2,1,Alpha-Beta,6138,0.34394240379333496,0,Direct_Comparison,Direct_Comparison_6
3,2,Minimax,6811,0.35810232162475586,0,Direct_Comparison,Direct_Comparison_6
4,3,Alpha-Beta,477,0.02477288246154785,0,Direct_Comparison,Direct_Comparison_6
5,4,Minimax,185,0.0090179443359375,0,Direct_Comparison,Direct_Comparison_6
