turn,pieces_on_board,algorithm,nodes_evaluated,time_seconds,winner,experiment_batch,simulation_id
1,0,Minimax,549945,29.36004137992859,0,Direct_Comparison,Direct_Comparison_1
2,1,Alpha-Beta,2315,0.12501239776611328,0,Direct_Comparison,Direct_Comparison_1
3,2,Minimax,6811,0.3611419200897217,0,Direct_Comparison,Direct_Comparison_1
4,3,Alpha-Beta,278,0.015662670135498047,0,Direct_Comparison,Direct_Comparison_1
5,4,Minimax,185,0.00950765609741211,0,Direct_Comparison,Direct_Comparison_1
6,5,Alpha-Beta,17,0.0009186267852783203,2,Direct_Comparison,Direct_Comparison_1
1,0,Minimax,549945,29.206265687942505,0,Direct_Comparison,Direct_Comparison_2
2,1,Alpha-Beta,2315,0.12489056587219238,0,Direct_Comparison,Direct_Comparison_2
3,2,Minimax,6811,0.3593780994415283,0,Direct_Comparison,Direct_Comparison_2
4,3,Alpha-Beta,278,0.015882015228271484,0,Direct_Comparison,Direct_Comparison_2
5,4,Minimax,185,0.010215282440185547,0,Direct_Comparison,Direct_Comparison_2
6,5,Alpha-Beta,17,0.0010082721710205078,2,Direct_Comparison,Direct_Comparison_2
1,0,Minimax,549945,29.250550508499146,0,Direct_Comparison,Direct_Comparison_3
2,1,Alpha-Beta,2315,0.12523841857910156,0,Direct_Comparison,Direct_Comparison_3
3,2,Minimax,6811,0.3611760139465332,0,Direct_Comparison,Direct_Comparison_3
4,3,Alpha-Beta,278,0.01582503318786621,0,Direct_Comparison,Direct_Comparison_3
5,4,Minimax,185,0.009470224380493164,0,Direct_Comparison,Direct_Comparison_3
6,5,Alpha-Beta,17,0.0009198188781738281,2,Direct_Comparison,Direct_Comparison_3
1,0,Minimax,549945,29.16580820083618,0,Direct_Comparison,Direct_Comparison_4
2,1,Alpha-Beta,2315,0.1257166862487793,0,Direct_Comparison,Direct_Comparison_4
3,2,Minimax,6811,0.36044764518737793,0,Direct_Comparison,Direct_Comparison_4
4,3,Alpha-Beta,278,0.015620708465576172,0,Direct_Comparison,Direct_Comparison_4
5,4,Minimax,185,0.009603023529052734,0,Direct_Comparison,Direct_Comparison_4
6,5,Alpha-Beta,17,0.0009558200836181641,2,Direct_Comparison,Direct_Comparison_4
1,0,Minimax,549945,29.24661898612976,0,Direct_Comparison,Direct_Comparison_5
2,1,Alpha-Beta,2315,0.1253209114074707,0,Direct_Comparison,Direct_Comparison_5
3,2,Minimax,6811,0.36046552658081055,0,Direct_Comparison,Direct_Comparison_5
4,3,Alpha-Beta,278,0.015588521957397461,0,Direct_Comparison,Direct_Comparison_5
5,4,Minimax,185,0.009480714797973633,0,Direct_Comparison,Direct_Comparison_5
6,5,Alpha-Beta,17,0.0009126663208007812,2,Direct_Comparison,Direct_Comparison_5
1,0,Minimax,549945,29.199198246002197,0,Direct_Comparison,Direct_Comparison_6
2,1,Alpha-Beta,2315,0.12380671501159668,0,Direct_Comparison,Direct_Comparison_6
3,2,Minimax,6811,0.35750913619995117,0,Direct_Comparison,Direct_Comparison_6
4,3,Alpha-Beta,278,0.015615224838256836,0,Direct_Comparison,Direct_Comparison_6
5,4,Minimax,185,0.009459972381591797,0,Direct_Comparison,Direct_Comparison_6
6,5,Alpha-Beta,17,0.0009169578552246094,2,Direct_Comparison,Direct_Comparison_6
1,0,Minimax,549945,29.230700731277466,0,Direct_Comparison,Direct_Comparison_7
2,1,Alpha-Beta,2315,0.12389779090881348,0,Direct_Comparison,Direct_Comparison_7
3,2,Minimax,6811,0.3579530715942383,0,Direct_Comparison,Direct_Comparison_7
4,3,Alpha-Beta,278,0.015517234802246094,0,Direct_Comparison,Direct_Comparison_7
5,4,Minimax,185,0.009475231170654297,0,Direct_Comparison,Direct_Comparison_7
6,5,Alpha-Beta,17,0.000919342041015625,2,Direct_Comparison,Direct_Comparison_7
1,0,Minimax,549945,29.298153400421143,0,Direct_Comparison,Direct_Comparison_8
2,1,Alpha-Beta,2315,0.1249852180480957,0,Direct_Comparison,Direct_Comparison_8
3,2,Minimax,6811,0.3594064712524414,0,Direct_Comparison,Direct_Comparison_8
4,3,Alpha-Beta,278,0.015718698501586914,0,Direct_Comparison,Direct_Comparison_8
5,4,Minimax,185,0.009439229965209961,0,Direct_Comparison,Direct_Comparison_8
6,5,Alpha-Beta,17,0.0009169578552246094,2,Direct_Comparison,Direct_Comparison_8
1,0,Minimax,549945,29.266469478607178,0,Direct_Comparison,Direct_Comparison_9
2,1,Alpha-Beta,2315,0.12503814697265625,0,Direct_Comparison,Direct_Comparison_9
3,2,Minimax,6811,0.3604276180267334,0,Direct_Comparison,Direct_Comparison_9
4,3,Alpha-Beta,278,0.01559758186340332,0,Direct_Comparison,Direct_Comparison_9
5,4,Minimax,185,0.009486675262451172,0,Direct_Comparison,Direct_Comparison_9
6,5,Alpha-Beta,17,0.0009160041809082031,2,Direct_Comparison,Direct_Comparison_9
1,0,Minimax,549945,29.241915941238403,0,Direct_Comparison,Direct_Comparison_10
2,1,Alpha-Beta,2315,0.1252448558807373,0,Direct_Comparison,Direct_Comparison_10
3,2,Minimax,6811,0.35873937606811523,0,Direct_Comparison,Direct_Comparison_10
4,3,Alpha-Beta,278,0.01554560661315918,0,Direct_Comparison,Direct_Comparison_10
5,4,Minimax,185,0.009440898895263672,0,Direct_Comparison,Direct_Comparison_10
6,5,Alpha-Beta,17,0.0009126663208007812,2,Direct_Comparison,Direct_Comparison_10
1,0,Minimax,549945,29.17831802368164,0,Minimax_Profile,Minimax_Profile_1
2,1,Random,0,1.1682510375976562e-05,0,Minimax_Profile,Minimax_Profile_1
3,2,Minimax,6811,0.3539605140686035,0,Minimax_Profile,Minimax_Profile_1
4,3,Random,0,9.5367431640625e-06,0,Minimax_Profile,Minimax_Profile_1
5,4,Minimax,185,0.009730100631713867,0,Minimax_Profile,Minimax_Profile_1
6,5,Random,0,5.4836273193359375e-06,0,Minimax_Profile,Minimax_Profile_1
7,6,Minimax,10,0.0005481243133544922,0,Minimax_Profile,Minimax_Profile_1
8,7,Random,0,5.245208740234375e-06,2,Minimax_Profile,Minimax_Profile_1
1,0,Minimax,549945,29.117536783218384,0,Minimax_Profile,Minimax_Profile_2
